Timestamp,Species,Region,Temperature (Â°C),Pollution_Level (ppm),Species_Population
2024-01-01,Species A,Zone 1,22.5,12,1500
2024-01-01,Species B,Zone 2,25.1,15,2000
2024-01-01,Species C,Zone 3,19.8,10,800
2024-01-02,Species A,Zone 1,23.0,14,1550
2024-01-02,Species B,Zone 2,24.5,16,2100
2024-01-02,Species C,Zone 3,20.0,11,850
2024-01-03,Species A,Zone 1,22.8,13,1580
2024-01-03,Species B,Zone 2,25.3,14,2200
2024-01-03,Species C,Zone 3,19.9,12,900
2024-01-04,Species A,Zone 1,23.1,15,1600
2024-01-04,Species B,Zone 2,24.9,17,2300
2024-01-04,Species C,Zone 3,20.2,13,950
2024-01-05,Species A,Zone 1,22.7,14,1650
2024-01-05,Species B,Zone 2,24.7,18,2400
2024-01-05,Species C,Zone 3,20.1,13,1000
2024-01-06,Species A,Zone 1,22.9,13,1700
2024-01-06,Species B,Zone 2,25.0,16,2500
2024-01-06,Species C,Zone 3,19.7,12,1050
2024-01-07,Species A,Zone 1,23.2,14,1750
2024-01-07,Species B,Zone 2,24.8,17,2600
2024-01-07,Species C,Zone 3,20.3,13,1100
2024-01-08,Species A,Zone 1,23.4,15,1800
2024-01-08,Species B,Zone 2,25.5,18,2700
2024-01-08,Species C,Zone 3,20.5,14,1150
2024-01-09,Species A,Zone 1,23.0,13,1850
2024-01-09,Species B,Zone 2,25.2,16,2800
2024-01-09,Species C,Zone 3,20.0,12,1200
2024-01-10,Species A,Zone 1,22.8,14,1900
2024-01-10,Species B,Zone 2,24.6,17,2900
2024-01-10,Species C,Zone 3,19.8,12,1250
2024-01-11,Species A,Zone 1,23.2,15,1950
2024-01-11,Species B,Zone 2,25.0,16,3000
2024-01-11,Species C,Zone 3,20.4,13,1300
2024-01-12,Species A,Zone 1,23.5,14,2000
2024-01-12,Species B,Zone 2,24.8,18,3100
2024-01-12,Species C,Zone 3,20.6,13,1350
